Ticker,Start Date,End Date,Pietroski F-Score,Current Ratio,Liabilities to Equity Ratio,Debt Ratio,Quarterly Return
LB,2016-06-03,2016-09-02,3.00000,1.86355,-7.83794,0.77107,1.0550471631704912
LB,2016-09-02,2016-12-02,6.00000,1.62727,-7.67936,0.75839,0.9623698959167335
LB,2016-12-02,2017-03-17,3.00000,1.43797,-7.45034,0.74697,0.7059068219633943
LB,2017-03-17,2017-06-02,5.00000,1.72046,-12.23796,0.70208,1.0357493616185425
LB,2017-06-02,2017-09-01,4.00000,1.72146,-10.43952,0.72900,0.6870851507680638
LB,2017-09-01,2017-12-01,6.00000,1.68203,-9.51206,0.74301,1.541816174441071
LB,2017-12-01,2018-03-23,5.00000,1.45121,-7.98481,0.74015,0.6897601145721447
LB,2018-03-23,2018-06-07,6.00000,1.62137,-11.85087,0.71101,0.9693745133662082
LB,2018-06-07,2018-09-07,3.00000,1.55544,-8.99690,0.74952,0.7100401606425703
LB,2018-09-07,2018-12-04,5.00000,1.46282,-7.79144,0.75814,1.2960030165912517
LB,2018-12-04,2019-03-22,2.00000,1.36928,-6.96723,0.74978,0.8088449228978761
LB,2019-03-22,2019-06-04,6.00000,1.64149,-10.35260,0.71829,0.8309352517985612
LB,2019-06-04,2019-09-06,3.00000,1.34137,-13.24722,0.52928,0.7316017316017315
LB,2019-09-06,2019-12-06,5.00000,1.19720,-12.42949,0.52270,1.0828402366863907
LB,2019-12-06,2020-03-30,1.00000,1.15061,-9.58643,0.52230,0.6726775956284153
LB,2020-03-30,2020-06-03,4.00000,1.36804,-7.77258,0.54795,1.4012997562956946
LBTYA,2015-08-04,2015-11-05,2.00000,0.36646,4.61153,0.65797,0.869894099848714
LBTYA,2015-11-05,2016-02-16,3.00000,0.37326,4.97486,0.67656,0.7369565217391304
LBTYA,2016-02-16,2016-05-09,3.00000,0.36661,5.64016,0.69197,1.1023598820058997
LBTYA,2016-05-09,2016-08-04,4.00000,0.35097,6.29291,0.70252,0.8686111854428686
LBTYA,2016-08-04,2016-11-03,7.00000,0.45334,4.60501,0.65744,0.9901417128773875
LBTYA,2016-11-03,2017-02-16,4.00000,0.45441,5.24540,0.54274,1.139079029247044
LBTYA,2017-02-16,2017-05-08,6.00000,0.72528,3.66224,0.54614,0.9150505326413548
LBTYA,2017-05-08,2017-08-07,5.00000,0.62556,3.90772,0.65506,1.0349253731343284
